ID,table
USTREASURY/YIELD,usgovtyieldcurve
BOE/IUDBEDR,boebankrate
FRED/DFII10,10yrtips
FRED/DFF,usfedfundsrate
FRED/ICSA,usjoblessclaims
BOE/IUDSNPY,5yrgilt
BOE/IUDMNPY,10yrgilt
BOE/IUDLNPY,20yrgilt
RICI/RICIA,intlagriidx
RICI/RICIM,intlmetalsidx
RICI/RICIE,intlenergyidx
OPEC/ORB,opeccrude
CFTC/096742_F_L_ALL,cotgpb
CFTC/098662_F_L_ALL,cotusd
CFTC/232741_F_L_ALL,cotaud
CFTC/099741_F_L_ALL,coteur
CFTC/097741_F_L_ALL,cotyen
CHRIS/CME_W1,wheatfut
CHRIS/CME_LC1,cattlefut
CHRIS/CME_S1,soybeanfut
CHRIS/MCX_NI1,nickelfut
CHRIS/CME_SI1,silverfut
CHRIS/SHFE_ZN1,zincfut
MOFJ/INTEREST_RATE_JAPAN,jpngovtyields
BUNDESBANK/BBK01_WT3030,grmygovtyield30
BUNDESBANK/BBK01_WT1010,grmygovtyield10
ML/AAAEY,aaayieldidx
ML/BBBEY,bbbyieldidx
ML/EMHGY,eminvestmentidx
ML/CCCY,cccyieldidx
ML/AAOAS,aaoasidx
ML/BOAS,boasidx
ML/HYOAS,hyoasdidx
ML/EMCBI,emoasidx
ISM/MAN_PMI,manupmi
ISM/NONMAN_NMI,nonmanunmi
UMICH/SOC1,umichcsi
